frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
223,18583.333,9,2,confirmed,-7.314,102.756,110.571,224.973,0.9039
223,18583.333,10,33,confirmed,530.230,413.070,558.347,432.036,0.2681
224,18666.667,9,2,confirmed,-7.118,104.005,102.643,223.787,0.8736
224,18666.667,10,33,confirmed,530.227,413.058,558.379,432.047,0.2681
225,18750.000,9,2,confirmed,-6.934,105.813,94.599,223.058,0.9149
225,18750.000,10,33,confirmed,530.225,413.045,558.412,432.058,0.2681
226,18833.333,9,2,confirmed,-6.926,107.694,86.010,222.060,0.9260
226,18833.333,10,33,confirmed,530.223,413.033,558.444,432.069,0.2681
227,18916.667,9,2,confirmed,-6.752,109.194,77.634,220.424,0.9164
227,18916.667,10,33,confirmed,530.221,413.021,558.476,432.081,0.2681
228,19000.000,9,2,confirmed,-6.596,111.277,69.241,219.364,0.8685
228,19000.000,10,33,confirmed,530.219,413.009,558.509,432.092,0.2681
229,19083.333,9,2,confirmed,-6.482,113.057,60.844,218.118,0.6886
229,19083.333,10,33,confirmed,530.217,412.997,558.541,432.103,0.2681
230,19166.667,9,2,confirmed,-6.135,115.378,52.856,216.295,0.3509
230,19166.667,10,33,confirmed,530.215,412.985,558.573,432.114,0.2681
231,19250.000,9,2,confirmed,-8.539,117.935,46.420,211.955,0.3509
231,19250.000,10,33,confirmed,530.213,412.973,558.605,432.125,0.2681
232,19333.333,9,2,confirmed,-10.783,120.766,39.824,207.340,0.3509
232,19333.333,10,33,confirmed,530.212,412.961,558.638,432.136,0.2681
233,19416.667,9,2,confirmed,-12.821,123.949,33.022,202.374,0.3509
233,19416.667,10,33,confirmed,530.210,412.949,558.670,432.147,0.2681
234,19500.000,9,2,confirmed,-14.582,127.607,25.942,196.932,0.3509
234,19500.000,10,33,confirmed,530.208,412.937,558.702,432.158,0.2681
235,19583.333,9,2,confirmed,-15.935,131.961,18.456,190.794,0.3509
236,19666.667,9,2,confirmed,-16.607,137.482,10.287,183.490,0.3509
237,19750.000,9,2,confirmed,-15.701,145.700,0.542,173.488,0.3509
238,19833.333,9,2,confirmed,-12.382,158.048,-11.617,159.356,0.3509
239,19916.667,9,2,confirmed,-16.802,157.157,-16.038,158.465,0.3509
240,20000.000,9,2,confirmed,-21.222,156.265,-20.458,157.573,0.3509
241,20083.333,9,2,confirmed,-25.642,155.373,-24.878,156.681,0.3509
